"","x"
"1","Acetate"
"var","rel.inf"
"Upland_Birch.Aspen.Spruce_Forest","Upland_Birch.Aspen.Spruce_Forest",0
"Upland_Dryas_Dwarf_Shrub_Tundra","Upland_Dryas_Dwarf_Shrub_Tundra",0
"Riverine_Water_Shrub_Wet_Sedge_Barrens","Riverine_Water_Shrub_Wet_Sedge_Barrens",0
"x"
"1","B"
"var","rel.inf"
"Season","Season",32.2730941721498
"SL_60_MEAN","SL_60_MEAN",14.0156344952328
"area_km2","area_km2",7.97588470430596
"SP_1000_MEAN","SP_1000_MEAN",7.55245579515777
"Lowland_Wet_Sedge_Tundra","Lowland_Wet_Sedge_Tundra",6.95243355908241
"Upland_Shrubby_Tussock_Tundra","Upland_Shrubby_Tussock_Tundra",5.21019269697526
"NDVI2012_MEAN","NDVI2012_MEAN",4.96997449333678
"Upland_Low_Birch.Willow_Shrub_Tundra","Upland_Low_Birch.Willow_Shrub_Tundra",4.62207493694427
"Upland_Moist_Sedge_Shrub","Upland_Moist_Sedge_Shrub",4.3507272399533
"Alpine_Non.Carbonate_Dryas_Dwarf_Shrub","Alpine_Non.Carbonate_Dryas_Dwarf_Shrub",4.17252705726289
"Lowland_Low_Birch.Willow_Shrub","Lowland_Low_Birch.Willow_Shrub",2.93216452757121
"Lowland_Water","Lowland_Water",2.80624712416267
"Alpine_Non.Carbonate_Barrens","Alpine_Non.Carbonate_Barrens",1.70348093488339
"Upland_Birch.Aspen.Spruce_Forest","Upland_Birch.Aspen.Spruce_Forest",0.46310826298151
"Upland_Dryas_Dwarf_Shrub_Tundra","Upland_Dryas_Dwarf_Shrub_Tundra",0
"Riverine_Water_Shrub_Wet_Sedge_Barrens","Riverine_Water_Shrub_Wet_Sedge_Barrens",0
"x"
"1","Ba"
"var","rel.inf"
"Season","Season",68.3818025280626
"area_km2","area_km2",6.15031087203416
"Lowland_Water","Lowland_Water",5.50133359969873
"Upland_Low_Birch.Willow_Shrub_Tundra","Upland_Low_Birch.Willow_Shrub_Tundra",2.96186753743498
"SL_60_MEAN","SL_60_MEAN",2.71604230081976
"NDVI2012_MEAN","NDVI2012_MEAN",2.47481670978459
"Alpine_Non.Carbonate_Dryas_Dwarf_Shrub","Alpine_Non.Carbonate_Dryas_Dwarf_Shrub",2.28431605916374
"Lowland_Wet_Sedge_Tundra","Lowland_Wet_Sedge_Tundra",2.219743498975
"SP_1000_MEAN","SP_1000_MEAN",2.21547014658217
"Upland_Shrubby_Tussock_Tundra","Upland_Shrubby_Tussock_Tundra",1.62796134427762
"Lowland_Low_Birch.Willow_Shrub","Lowland_Low_Birch.Willow_Shrub",1.46615659955074
"Upland_Moist_Sedge_Shrub","Upland_Moist_Sedge_Shrub",1.30606180325982
"Alpine_Non.Carbonate_Barrens","Alpine_Non.Carbonate_Barrens",0.694117000356075
"Upland_Birch.Aspen.Spruce_Forest","Upland_Birch.Aspen.Spruce_Forest",0
"Upland_Dryas_Dwarf_Shrub_Tundra","Upland_Dryas_Dwarf_Shrub_Tundra",0
"Riverine_Water_Shrub_Wet_Sedge_Barrens","Riverine_Water_Shrub_Wet_Sedge_Barrens",0
"x"
"1","Ca"
"var","rel.inf"
"Season","Season",67.0347558504452
"SL_60_MEAN","SL_60_MEAN",4.84674812759364
"area_km2","area_km2",4.67696565328083
"Lowland_Water","Lowland_Water",4.26690958514432
"Upland_Low_Birch.Willow_Shrub_Tundra","Upland_Low_Birch.Willow_Shrub_Tundra",3.42249127473777
"Lowland_Wet_Sedge_Tundra","Lowland_Wet_Sedge_Tundra",3.22039387150748
"SP_1000_MEAN","SP_1000_MEAN",2.55838038223185
"Alpine_Non.Carbonate_Dryas_Dwarf_Shrub","Alpine_Non.Carbonate_Dryas_Dwarf_Shrub",1.98069669836119
"Alpine_Non.Carbonate_Barrens","Alpine_Non.Carbonate_Barrens",1.8744226168957
"Upland_Moist_Sedge_Shrub","Upland_Moist_Sedge_Shrub",1.73362043155804
"Upland_Shrubby_Tussock_Tundra","Upland_Shrubby_Tussock_Tundra",1.60815455224086
"Lowland_Low_Birch.Willow_Shrub","Lowland_Low_Birch.Willow_Shrub",1.54067755799722
"NDVI2012_MEAN","NDVI2012_MEAN",1.12190777687436
"Upland_Birch.Aspen.Spruce_Forest","Upland_Birch.Aspen.Spruce_Forest",0.11387562113154
"Upland_Dryas_Dwarf_Shrub_Tundra","Upland_Dryas_Dwarf_Shrub_Tundra",0
"Riverine_Water_Shrub_Wet_Sedge_Barrens","Riverine_Water_Shrub_Wet_Sedge_Barrens",0
"x"
"1","Cd"
"var","rel.inf"
